Gender,Age,Educational Qualification ,How many online courses have you taken before COVID-19 pandemic? [Before COVID-19] ,"
How many online courses have you taken after COVID-19 pandemic? [After COVID-19] ","
How often do you upskill yourself? ",Which digital platform do you prefer for upskilling?,How much money do you spend on Upskilling in Digital Platforms?,How much do you agree with the features of upskilling given below? [Usefulness] ,"
12. How much do you agree with the features of upskilling given below?
 [Enhances  job opportunities] ","
13. How much do you agree with benefits of upskilling stated below?
 [Improves knowledge] ","
Is upskilling through digital platforms more beneficial than traditional / offline methods?  ","
Would you suggest upskilling through Digital Platform to others? "
Male,45,Professional,2,3 and more,Once in every 6 months,Udemy,"Less than 10,000",4,3,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Female,18,UG,3 and more,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Male,20,UG,2,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",4,4,3,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,2,3 and more,Once in every 3 months,Coursera,"Less than 10,000",5,4,4,Yes,Yes
Male,19,UG,None,1,Once in a year,NPTEL,"Less than 10,000",4,4,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,5,4,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,4,Yes,Yes
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",5,5,5,Yes,Yes
Male,19,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Male,23,UG,2,3 and more,Once in every 6 months,Coursera,"Less than 10,000",4,5,5,Yes,Yes
Female,18,UG,1,2,Whenever required,NPTEL,"Less than 10,000",4,3,4,Yes,No
Male,20,UG,1,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Male,23,Diploma,2,3 and more,Once in every 3 months,Coursera,"10,000 - 25,000",4,2,2,No,No
Male,30,Professional,None,1,Whenever required,Udemy,"Less than 10,000",4,3,4,No,Yes
Female,19,UG,None,None,Once in a year,LinkedIn,"Less than 10,000",3,3,3,No,Yes
Female,21,UG,3 and more,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,52,Professional,3 and more,3 and more,Whenever required,Coursera,"10,000 - 25,000",4,3,3,Yes,Yes
Female,20,UG,None,None,Whenever required,Coursera,"Less than 10,000",4,2,4,Yes,Yes
Female,21,UG,3 and more,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,22,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",3,3,4,Yes,Yes
Female,20,UG,2,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,4,3,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",3,2,2,No,Yes
Female,20,UG,1,3 and more,Once in every 3 months,Coursera,"10,000 - 25,000",4,4,4,Yes,Yes
Female,20,Diploma,None,2,Whenever required,Coursera,"Less than 10,000",5,1,1,No,No
Female,21,UG,2,None,Whenever required,LinkedIn,"Less than 10,000",2,2,2,Yes,Yes
Female,22,UG,2,3 and more,Once in every 6 months,NPTEL,"Less than 10,000",4,4,4,Yes,Yes
Female,20,UG,None,3 and more,Once in every 3 months,LinkedIn,"Less than 10,000",3,5,5,Yes,Yes
Female,20,UG,None,3 and more,Once in every 3 months,NPTEL,"10,000 - 25,000",1,2,3,No,Yes
Female,22,UG,None,None,Whenever required,Coursera,"Less than 10,000",1,1,1,Yes,Yes
Female,20,UG,None,None,Once in every 3 months,Coursera,"Less than 10,000",3,4,2,No,No
Female,21,UG,1,2,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Female,21,UG,1,1,Whenever required,LinkedIn,"Less than 10,000",5,4,4,No,Yes
Female,20,UG,None,3 and more,Once in every 6 months,Coursera,"Less than 10,000",3,4,3,Yes,Yes
Female,20,UG,None,2,Whenever required,LinkedIn,"Less than 10,000",4,4,4,Yes,Yes
Female,22,UG,None,3 and more,Once in every 3 months,Udemy,"Less than 10,000",5,5,5,Yes,No
Female,23,UG,None,1,Once in a year,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,21,UG,None,None,Whenever required,LinkedIn,"Less than 10,000",1,3,1,Yes,No
Female,21,UG,None,None,Once in every 3 months,Udemy,"Less than 10,000",1,2,3,No,No
Female,21,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",4,3,2,No,No
Female,21,UG,2,2,Once in a year,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,4,4,Yes,Yes
Male,20,UG,3 and more,3 and more,Whenever required,Udemy,"Less than 10,000",4,4,4,Yes,Yes
Male,19,UG,1,2,Whenever required,Coursera,"Less than 10,000",3,4,5,Yes,Yes
Female,19,UG,2,3 and more,Whenever required,Udemy,"Less than 10,000",4,4,3,Yes,Yes
Female,21,UG,1,3 and more,Once in every 3 months,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,None,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,1,3 and more,Whenever required,Coursera,"Less than 10,000",2,3,3,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,LinkedIn,"Less than 10,000",3,3,4,No,No
Female,19,UG,None,3 and more,Whenever required,NPTEL,"Less than 10,000",3,3,3,No,Yes
Female,19,UG,None,2,Once in every 3 months,LinkedIn,"Less than 10,000",1,2,3,Yes,No
